Listing Title,Exact Price LKR,Specification Log,Manufacture Year
Honda Civic Car,11375000,"Gampaha | 130,000 km",2017
Nissan Sakura Car,9350000,"Colombo | 3,580 km",2023
Suzuki Alto Car,4150000,"Kesbewa | 74,351 km",2015
Toyota Vitz Car,8650000,"Horana | 117,522 km",2018
Suzuki Wagon R Car,6200000,"Kaduwela | 107,000 km",2016
Mercedes-Benz A200 Limited Edition Car,20790000,"Colombo | 25,000 km",2019
Toyota Vitz Car,5475000,"Homagama | 230,998 km",2008
Toyota Vitz Car,8500000,"Colombo | 58,900 km",2018
Suzuki Alto New Face Car,4275000,"Ampara | 123,000 km",2016
Toyota Vitz Special Edition Car,8300000,"Chilaw | 125,000 km",2019
Suzuki Zen Car,3495000,Panadura | 1 km,2008
Nissan B15 Car,3795000,Bandaragama | 1 km,2004
Perodua Kancil Car,2595000,Bandaragama | 1 km,1998
Suzuki Zen Car,2595000,Bandaragama | 1 km,2005
Datsun Redi-go Car,3295000,Panadura | 123 km,2016
Toyota Ae100 Se Limited Car,3425000,Ratnapura | 220 km,1994
Suzuki Alto Car,3095000,Bandaragama | 1 km,2000
Toyota VITZ CLAVIA Car,4450000,Beruwala | 2 km,2004
Toyota Vitz Car,5975000,"Gampola | 142,000 km",2010
Nissan AD Wagon Car,3095000,Panadura | 123 km,2000
Honda Insight Car,6895000,Bandaragama | 1 km,2009
Honda FIT Aria Car,5290000,"Malabe | 227,000 km",2007
Hyundai Elantr Car,3300000,"Dambulla | 90,000 km",2001
Mitsubishi Lancer Car,4395000,Bandaragama | 1 km,2002
Suzuki Wagon R FX Car,7950000,"Anuradapura | 19,900 km",2024
Nissan FB14 Car,2650000,"Embilipitiya | 100,000 km",1996
Renault KWID CLIMBER SPORTS Car,5175000,"Welisara | 56,000 km",2020
Honda FIT GP5 Car,7750000,"Moratuwa | 14,100 km",2014
Nissan FB15 Car,4400000,"Kurunegala | 112,334 km",2000
Toyota Corolla 141 Car,6290000,"Kandy | 113,000 km",2007
Toyota Roomy Car,9200000,"Colombo | 20,000 km",2023
Honda Civic Car,11375000,"Gampaha | 130,000 km",2017
Suzuki Wagon R ZX Car,9550000,Kesbewa | 100 km,2025
Nissan FB12 Car,1950000,"Wennappuwa | 200,000 km",1988
Toyota Axio G Grade Car,11000000,"Kurunegala | 109,000 km",2015
Toyota Vitz Edition 3 Car,8975000,"Kandy | 24,000 km",2019
Suzuki Alto Car,4090000,"Homagama | 136,000 km",2015
Toyota Belta Car,6050000,Nittambuwa,2011
Mazda Demio Car,5050000,"Kurunegala | 128,000 km",2011
Nissan Tiida Car,5690000,"Malabe | 156,572 km",2005
